         Data  Preço_Previsto
",0  2025-01-28       77.278671"
",1  2025-01-29       77.077385"
",2  2025-01-30       76.803276"
",3  2025-01-31       76.348251"
",4  2025-02-01       76.119637"
",5  2025-02-02       75.918991"
",6  2025-02-03       75.699081"
",7  2025-02-04       75.471565"
",8  2025-02-05       75.259254"
",9  2025-02-06       75.054619"
",10 2025-02-07       74.851776"
",11 2025-02-08       74.653801"
",12 2025-02-09       74.457535"
",13 2025-02-10       74.262070"
",14 2025-02-11       74.067505"
",15 2025-02-12       73.874710"
",16 2025-02-13       73.683006"
",17 2025-02-14       73.491928"
",18 2025-02-15       73.301399"
",19 2025-02-16       73.111488"
",20 2025-02-17       72.922188"
",21 2025-02-18       72.733406"
",22 2025-02-19       72.545128"
",23 2025-02-20       72.357285"
",24 2025-02-21       72.169914"
",25 2025-02-22       71.982986"
",26 2025-02-23       71.796455"
",27 2025-02-24       71.610382"
",28 2025-02-25       71.424721"
",29 2025-02-26       71.239426"
